91,55,50,38,54,43,43,25,12,11,6,1,0,1,1
55,55,44,27,40,31,32,19,9,5,4,1,0,1,1
50,44,60,28,52,31,34,20,12,7,6,1,0,1,1
38,27,28,43,34,36,18,10,8,4,1,0,0,1,1
54,40,52,34,75,38,38,20,11,8,6,1,0,1,1
43,31,31,36,38,51,20,11,8,5,2,0,0,1,1
43,32,34,18,38,20,56,30,8,6,5,0,0,0,1
25,19,20,10,20,11,30,30,7,5,4,0,0,0,0
12,9,12,8,11,8,8,7,16,7,1,1,0,1,0
11,5,7,4,8,5,6,5,7,13,0,0,0,1,0
6,4,6,1,6,2,5,4,1,0,7,0,0,0,0
1,1,1,0,1,0,0,0,1,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,0,0,1,1,0,0,0,1,0
1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
