24,12,21,15,5,15,11,4,7,4,2,2,0
13,8,13,7,6,4,11,1,2,1,1,1,0
12,6,7,4,2,12,7,5,2,1,1,2,0
14,6,7,4,3,7,6,5,0,0,0,1,0
4,1,2,2,0,2,0,1,1,1,1,0,0
8,3,4,1,3,5,6,3,0,0,1,0,0
4,1,4,2,1,1,2,0,0,0,0,0,0
4,2,1,2,2,3,4,1,0,0,0,0,0
7,3,5,2,2,5,5,3,1,1,1,0,0
8,3,4,3,4,5,5,2,1,1,2,0,0
4,3,2,4,0,6,0,1,2,1,1,1,0
7,4,6,6,5,1,7,0,0,0,0,0,0
6,0,4,2,0,0,2,0,0,0,0,1,0
8,2,5,4,4,4,5,0,3,4,0,0,0
5,2,6,4,2,3,3,1,2,3,0,0,0
2,0,1,0,1,1,2,0,0,0,0,0,0
3,1,3,1,1,1,3,0,0,1,0,0,0
6,2,6,3,1,4,4,1,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,1,0,0
3,1,4,3,2,4,3,2,1,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,2,1,4,2,0,0,0,0,0,0
7,5,5,3,5,1,7,0,0,0,0,0,0
5,2,1,1,1,4,3,1,0,0,0,0,0
2,1,1,1,0,2,0,0,0,0,0,1,0
