406,414,420,406,394,375,363,336,294,314,255,244,233,237,233,236,212,190,230,213,182,162,200,196,164
169,173,167,149,156,137,155,122,132,128,118,108,110,113,94,96,96,101,90,86,86,79,78,83,75
145,147,144,134,136,120,131,107,111,106,99,89,92,90,85,83,82,84,75,71,69,75,62,71,58
133,138,141,130,126,121,120,107,112,103,91,75,85,85,78,84,77,55,76,82,64,61,67,73,54
110,116,115,101,102,94,103,82,96,83,76,73,51,69,63,71,40,59,52,57,45,61,66,53,42
90,94,92,83,84,79,86,66,79,71,67,62,56,60,50,63,42,52,52,50,39,45,54,46,38
118,117,119,108,104,96,106,77,103,87,82,77,71,80,56,78,56,63,59,65,54,61,60,45,40
97,101,100,75,84,74,91,54,78,70,66,58,43,66,49,61,32,57,42,52,34,49,49,39,30
93,98,90,82,82,72,83,61,79,68,65,58,53,61,45,52,44,46,44,48,45,48,48,45,31
96,99,96,93,92,84,92,83,80,85,67,65,64,72,59,63,56,59,60,63,55,47,35,47,56
77,78,82,79,80,72,71,65,64,66,59,53,45,49,48,56,42,46,50,47,37,41,35,37,31
70,75,77,69,67,65,68,55,67,55,53,44,42,43,35,55,31,37,39,35,27,33,32,31,22
64,68,61,55,55,46,58,39,53,47,46,41,37,43,29,36,30,36,28,35,27,35,30,27,23
75,75,76,73,73,72,69,64,56,53,46,51,40,45,58,49,38,36,52,36,33,35,36,49,32
69,69,69,62,64,60,64,54,54,53,49,38,45,41,39,46,32,35,41,42,34,39,33,34,25
55,58,59,54,49,48,55,44,48,49,43,27,35,30,35,40,27,32,35,37,33,29,24,32,22
67,70,66,59,62,54,60,44,57,50,49,47,36,47,36,46,30,40,36,40,34,37,23,32,30
45,46,48,34,41,36,40,24,33,32,37,29,21,32,23,29,15,27,19,27,16,25,26,22,14
59,63,62,57,56,51,60,49,49,55,49,33,34,39,36,43,29,34,30,39,26,30,33,28,25
61,64,61,53,56,48,55,40,53,47,47,43,32,44,32,43,26,38,32,37,31,35,22,28,25
48,49,51,46,47,45,45,37,45,40,38,28,23,29,30,30,24,26,26,27,20,25,25,20,18
49,52,52,44,46,41,47,38,41,41,42,36,28,30,35,32,28,30,29,29,24,29,23,28,20
44,45,44,38,41,35,45,32,36,37,37,28,32,31,23,36,21,25,21,23,20,26,26,20,18
49,52,52,50,50,44,48,41,40,42,35,33,25,35,33,36,23,26,33,29,20,25,20,26,19
46,48,47,44,41,40,45,38,37,36,29,24,31,31,25,32,31,25,26,34,25,18,23,21,31
