91,11,3,5,4,4,0,1,0,0,0,0,0,0,1,0
11,40,2,3,1,0,1,0,1,0,0,0,0,0,0,0
3,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0
5,3,0,11,0,1,0,0,0,0,0,0,0,0,0,0
4,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
