country,count
China,9
United States,6
Taiwan,5
Brazil,4
France,4
Republic of,3
Hong Kong,3
French Guiana,3
Netherlands,3
Guiana,3
the US,3
the Netherlands,2
Nigeria,2
French Guiana,,2
Niger,2
French Guiana.,2
Kenya,2
the United States,2
Australia,2
United States.,1
Angola,1
South Korea,1
Sweden,1
Viet Nam.,1
the USA,1
Japan,1
Hong Kong,,1
United Kingdom,1
Ghana,1
Congo,1
the Netherlands.,1
Burkina Faso,1
Finland,1
Democratic Republic of the Congo,1
