virus,count
dengue virus,15
human immunodeficiency virus,8
human coronavirus,6
coxsackievirus,5
chikungunya virus,4
dengue virus.,4
dengue virus,,2
human enterovirus,2
human rhinovirus,,1
dengue virus;,1
vesicular stomatitis virus,1
human cytomegalovirus,1
measles virus.,1
human immunodeficiency virus;,1
influenza a virus,1
hepatitis delta virus,1
measles virus,1
poliovirus,1
