420,97,90,28,40,60,52,41,44,36,40,42,41,31,41,46,33,13,15,24,28,25,22,9,8
97,174,31,21,18,18,47,23,27,16,20,32,16,15,17,16,16,13,9,16,9,18,12,12,11
90,31,125,10,9,14,15,27,19,12,30,12,29,16,13,9,7,3,4,12,9,12,11,4,1
28,21,10,69,12,5,10,11,13,14,5,7,5,11,4,6,14,9,10,11,3,6,6,4,11
40,18,9,12,68,8,9,10,16,12,7,5,8,10,7,4,13,6,4,6,5,5,6,4,3
60,18,14,5,8,80,12,10,7,11,8,12,5,9,29,15,8,8,4,8,12,6,8,2,5
52,47,15,10,9,12,97,17,10,11,10,28,12,13,8,12,11,4,3,11,8,10,5,0,3
41,23,27,11,10,10,17,70,15,11,20,10,18,15,4,9,8,3,4,10,4,14,9,1,1
44,27,19,13,16,7,10,15,67,17,12,11,11,14,5,12,12,3,5,6,2,6,9,3,0
36,16,12,14,12,11,11,11,17,60,12,4,11,12,8,9,22,2,5,6,3,4,7,4,6
40,20,30,5,7,8,10,20,12,12,56,7,20,10,7,5,3,3,2,9,4,8,9,0,0
42,32,12,7,5,12,28,10,11,4,7,69,8,8,8,7,5,5,4,11,7,4,5,2,3
41,16,29,5,8,5,12,18,11,11,20,8,57,8,2,8,5,8,8,9,3,8,9,5,2
31,15,16,11,10,9,13,15,14,12,10,8,8,52,4,5,10,3,5,9,0,4,8,2,3
41,17,13,4,7,29,8,4,5,8,7,8,2,4,52,10,4,2,3,5,5,5,4,3,1
46,16,9,6,4,15,12,9,12,9,5,7,8,5,10,54,8,5,4,6,14,5,5,5,3
33,16,7,14,13,8,11,8,12,22,3,5,5,10,4,8,46,4,4,7,2,5,3,1,6
13,13,3,9,6,8,4,3,3,2,3,5,8,3,2,5,4,36,15,5,3,6,4,5,13
15,9,4,10,4,4,3,4,5,5,2,4,8,5,3,4,4,15,31,4,2,3,2,8,12
24,16,12,11,6,8,11,10,6,6,9,11,9,9,5,6,7,5,4,37,1,6,9,0,3
28,9,9,3,5,12,8,4,2,3,4,7,3,0,5,14,2,3,2,1,34,2,2,2,1
25,18,12,6,5,6,10,14,6,4,8,4,8,4,5,5,5,6,3,6,2,37,5,2,2
22,12,11,6,6,8,5,9,9,7,9,5,9,8,4,5,3,4,2,9,2,5,32,2,0
9,12,4,4,4,2,0,1,3,4,0,2,5,2,3,5,1,5,8,0,2,2,2,22,7
8,11,1,11,3,5,3,1,0,6,0,3,2,3,1,3,6,13,12,3,1,2,0,7,26
