tropicalVirus,count
Zika,117
ZIKV,54
DENV,48
Dengue,42
CHIKV,35
Chikungunya,31
West Nile,26
HPV,19
WNV,7
Yellow fever,7
West Nile,,4
YFV,4
Human papilloma virus,1
Yellow fever.,1
Yellow fever,,1
