180,130,164,142,72,93,66,56,50,63,44,16,24,40,9,15,20,26,6,19,18,5,6,10,5
160,111,134,128,75,97,69,53,49,51,40,14,25,32,10,19,21,20,4,16,17,6,5,9,6
114,83,94,88,55,64,49,39,33,39,31,11,15,26,5,13,11,16,5,13,15,3,2,7,4
107,90,98,89,52,59,42,35,29,38,31,15,16,32,7,12,12,19,4,9,13,4,2,4,2
84,79,81,62,52,39,34,32,24,31,23,18,12,25,11,7,7,17,6,10,11,3,2,4,5
91,81,77,71,47,56,39,32,21,31,27,10,14,22,6,12,9,15,2,10,9,3,1,3,3
80,66,78,66,37,39,33,27,27,36,25,11,6,24,4,8,7,15,2,9,9,0,0,3,3
84,65,72,56,36,41,32,27,30,35,22,11,8,22,4,12,7,15,1,7,10,1,1,1,3
58,58,59,48,43,32,26,20,24,28,18,11,9,17,9,6,6,12,2,7,8,3,2,1,3
59,40,59,40,41,30,25,23,23,28,19,10,12,17,8,5,6,12,7,3,9,5,3,3,4
57,52,58,48,37,33,23,17,17,20,13,9,10,12,6,7,5,8,4,4,11,2,1,1,3
43,34,35,34,24,29,20,17,11,12,12,2,5,8,2,7,4,6,2,3,5,1,0,1,2
25,15,18,14,14,18,6,8,4,9,5,3,1,2,1,5,3,2,0,2,1,1,2,1,0
41,30,40,32,27,20,13,13,11,20,10,5,7,12,1,3,5,6,2,5,7,1,2,3,1
23,26,26,23,16,14,10,8,4,10,9,4,3,10,5,6,2,5,2,0,2,1,0,1,1
36,29,30,28,21,16,17,13,17,13,14,6,3,13,2,5,6,6,1,2,6,0,0,0,1
33,27,28,27,12,16,19,11,10,8,9,3,3,14,4,4,5,3,2,5,7,1,1,1,0
30,22,27,21,15,21,11,11,6,9,5,7,4,9,2,4,5,4,1,2,5,2,1,2,0
22,21,21,17,11,10,12,5,7,6,8,3,5,7,5,3,3,1,2,2,5,2,2,0,2
4,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
14,11,11,9,12,10,6,4,5,5,4,3,3,3,1,4,1,2,0,2,2,1,1,0,0
27,13,17,13,10,14,9,7,8,10,5,2,3,6,1,1,2,2,0,2,4,1,1,0,1
24,15,21,15,9,8,11,9,6,9,6,4,2,6,3,3,2,4,1,4,2,0,0,1,0
14,7,13,9,10,5,3,4,2,6,2,1,6,4,3,1,2,0,1,1,1,3,0,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
