37,15,2,2,3,1,0,0,0,0,0,0,0,0,0,1
19,9,3,2,1,1,0,0,0,0,0,0,0,0,0,1
24,7,0,2,2,1,0,0,0,0,0,0,0,0,0,0
14,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
9,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1
10,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1
14,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10,7,0,1,1,0,1,0,1,0,0,0,0,0,0,0
18,10,1,3,1,1,0,0,0,0,0,0,0,0,0,0
9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
14,5,0,1,2,0,0,0,0,0,0,0,0,0,1,0
10,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0
4,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
11,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0
7,4,0,1,1,0,0,1,0,0,0,1,0,0,0,0
9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
