27,12,26,17,25,10,19,10,7,9,2,7,1,0
13,6,14,10,13,5,8,4,5,6,1,3,1,0
37,19,27,21,15,13,24,5,5,8,2,5,1,0
13,5,8,6,12,5,5,6,3,4,2,4,1,0
10,4,9,7,14,3,7,8,3,5,0,4,1,0
11,4,11,5,10,9,11,3,2,4,2,4,1,0
4,1,3,3,6,3,3,4,2,3,1,3,1,0
15,11,10,9,12,5,7,4,5,7,1,2,2,0
9,3,7,3,10,2,4,4,2,3,1,2,0,0
8,3,7,4,6,5,6,2,1,1,1,2,0,0
6,3,7,4,6,6,7,1,3,4,1,1,1,0
5,3,6,4,7,7,7,5,2,2,0,3,0,0
10,4,9,6,10,4,4,3,0,2,1,4,1,0
11,8,7,7,6,5,7,5,3,4,1,2,0,0
6,1,3,3,4,2,3,2,1,4,0,1,1,0
2,1,2,2,6,2,2,2,2,2,1,1,0,0
5,2,4,3,6,1,3,2,2,3,0,1,0,0
6,3,2,3,5,2,3,3,4,5,0,0,1,0
2,1,0,2,2,1,0,1,1,1,0,0,0,0
10,5,13,8,8,6,8,4,3,2,0,3,0,0
7,1,9,5,5,6,5,0,0,3,1,3,1,0
12,7,12,8,8,4,7,2,2,3,0,3,1,0
3,0,4,2,5,1,2,2,0,1,0,1,1,0
4,1,4,2,4,2,3,1,1,2,0,0,0,0
3,2,2,2,4,1,2,3,1,3,1,1,0,0
