184,112,49,46,36,31,13,7,19,13,15,10,14,15,16,11,12,11,8,11,9,11,10,8,5
112,165,56,25,27,42,17,5,29,14,10,12,11,10,13,15,10,7,7,7,10,9,7,9,4
49,56,82,17,14,17,16,4,15,3,6,7,5,4,15,9,1,5,4,4,7,11,7,3,5
46,25,17,60,12,19,2,3,10,5,8,3,4,10,5,3,2,5,4,3,4,2,3,2,2
36,27,14,12,63,9,4,2,7,3,5,5,10,6,5,2,1,1,4,5,4,4,4,2,3
31,42,17,19,9,54,6,5,13,7,4,3,3,5,3,4,3,3,3,1,2,3,2,2,1
13,17,16,2,4,6,39,10,8,2,2,2,1,1,1,4,0,1,4,0,0,1,1,4,1
7,5,4,3,2,5,10,23,3,1,1,2,1,1,0,2,0,0,1,1,0,0,4,1,1
19,29,15,10,7,13,8,3,38,3,3,3,1,2,1,1,4,0,1,0,3,0,0,3,0
13,14,3,5,3,7,2,1,3,28,0,0,2,2,1,1,3,7,2,1,0,0,2,1,0
15,10,6,8,5,4,2,1,3,0,24,1,2,3,1,1,1,2,2,1,0,0,1,0,0
10,12,7,3,5,3,2,2,3,0,1,18,1,1,1,1,0,0,1,2,4,1,2,1,0
14,11,5,4,10,3,1,1,1,2,2,1,21,2,2,1,1,2,2,1,1,1,3,1,0
15,10,4,10,6,5,1,1,2,2,3,1,2,21,0,1,0,1,2,1,3,0,2,1,1
16,13,15,5,5,3,1,0,1,1,1,1,2,0,22,1,2,1,1,2,1,5,2,0,3
11,15,9,3,2,4,4,2,1,1,1,1,1,1,1,19,1,1,1,1,0,0,0,2,0
12,10,1,2,1,3,0,0,4,3,1,0,1,0,2,1,16,1,1,0,0,0,0,0,0
11,7,5,5,1,3,1,0,0,7,2,0,2,1,1,1,1,16,1,1,0,1,2,1,1
8,7,4,4,4,3,4,1,1,2,2,1,2,2,1,1,1,1,16,1,0,1,1,0,0
11,7,4,3,5,1,0,1,0,1,1,2,1,1,2,1,0,1,1,18,0,1,0,2,1
9,10,7,4,4,2,0,0,3,0,0,4,1,3,1,0,0,0,0,0,12,2,2,1,0
11,9,11,2,4,3,1,0,0,0,0,1,1,0,5,0,0,1,1,1,2,12,1,0,3
10,7,7,3,4,2,1,4,0,2,1,2,3,2,2,0,0,2,1,0,2,1,14,2,0
8,9,3,2,2,2,4,1,3,1,0,1,1,1,0,2,0,1,0,2,1,0,2,15,0
5,4,5,2,3,1,1,1,0,0,0,0,0,1,3,0,0,1,0,1,0,3,0,0,9
