14,9,4,7,9,5,7,2,3,2,4,2,2,1
9,8,6,5,7,6,8,2,0,0,0,0,0,0
9,4,5,4,7,6,1,0,0,0,0,0,2,0
3,1,2,2,2,2,1,1,0,0,1,0,1,1
5,2,2,2,3,1,2,1,0,0,1,0,1,0
7,4,4,2,5,5,4,1,2,0,1,0,0,1
3,2,3,2,2,4,4,2,0,0,0,0,0,0
4,3,4,5,4,5,2,1,1,0,0,0,0,0
4,3,3,4,4,2,4,2,0,0,0,0,0,0
2,2,1,3,4,1,1,1,1,0,1,0,0,0
4,3,4,3,3,2,4,2,0,0,0,0,0,0
3,2,1,3,3,2,2,1,1,0,0,0,0,0
5,2,3,1,2,2,2,0,1,1,1,1,0,0
3,2,6,2,3,6,4,1,1,0,0,0,0,0
5,4,4,3,5,4,2,0,0,0,0,0,0,0
1,0,1,1,2,1,1,0,0,0,0,0,0,0
3,1,1,2,2,1,2,0,0,0,1,0,0,0
4,2,2,4,4,2,3,2,2,0,1,0,1,1
2,1,1,3,4,1,1,0,0,0,0,0,0,0
2,2,0,1,1,1,0,0,0,1,1,1,0,0
3,1,2,2,2,2,2,0,0,0,0,0,0,0
4,3,3,3,4,3,1,0,0,0,0,0,0,0
5,4,4,4,6,5,2,2,2,0,0,0,0,0
2,0,2,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,1,0,0
