27,20,12,12,7,9,6,7,7,4,6,4,3,3,6,4,3,3,1,3,4,0,4,2,2
20,27,14,12,8,7,5,8,7,4,7,5,4,3,6,4,3,4,1,4,4,2,4,3,3
12,14,18,9,5,5,5,6,6,3,6,5,3,4,6,4,2,4,1,4,4,1,4,3,2
12,12,9,14,5,4,5,6,3,4,6,5,3,3,4,2,3,3,1,3,4,1,4,3,3
7,8,5,5,10,2,1,3,3,2,3,1,2,1,2,3,1,3,1,3,2,0,1,2,0
9,7,5,4,2,13,3,1,2,3,4,3,1,2,3,1,1,1,0,1,2,3,2,1,0
6,5,5,5,1,3,10,1,2,1,1,2,2,0,3,0,1,1,0,1,1,1,0,2,1
7,8,6,6,3,1,1,8,3,1,4,2,2,2,2,2,1,1,0,1,2,0,3,1,2
7,7,6,3,3,2,2,3,8,1,2,1,1,0,3,3,1,2,0,2,1,0,0,1,1
4,4,3,4,2,3,1,1,1,4,2,3,0,2,1,1,2,0,0,0,2,0,2,0,0
6,7,6,6,3,4,1,4,2,2,7,3,3,3,3,2,0,2,0,2,1,1,3,2,1
4,5,5,5,1,3,2,2,1,3,3,6,1,2,3,1,1,1,0,1,1,1,2,1,1
3,4,3,3,2,1,2,2,1,0,3,1,5,1,2,1,0,2,0,2,0,1,1,2,1
3,3,4,3,1,2,0,2,0,2,3,2,1,4,1,1,0,0,0,0,1,0,3,0,1
6,6,6,4,2,3,3,2,3,1,3,3,2,1,7,2,1,2,0,2,1,1,2,1,1
4,4,4,2,3,1,0,2,3,1,2,1,1,1,2,4,0,2,0,2,0,0,1,1,0
3,3,2,3,1,1,1,1,1,2,0,1,0,0,1,0,3,0,0,0,2,0,1,0,0
3,4,4,3,3,1,1,1,2,0,2,1,2,0,2,2,0,4,1,4,1,1,0,3,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
3,4,4,3,3,1,1,1,2,0,2,1,2,0,2,2,0,4,1,4,1,1,0,3,0
4,4,4,4,2,2,1,2,1,2,1,1,0,1,1,0,2,1,1,1,4,0,2,1,0
0,2,1,1,0,3,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,3,0,1,0
4,4,4,4,1,2,0,3,0,2,3,2,1,3,2,1,1,0,0,0,2,0,4,0,1
2,3,3,3,2,1,2,1,1,0,2,1,2,0,1,1,0,3,1,3,1,1,0,4,0
2,3,2,3,0,0,1,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,4
