virus_topics,count
virus,88
common,35
viral load,21
microbiology,14
bacteriophage,9
viral entry,8
viral shedding,8
viral replication,7
capsid,5
viral disease,5
viral envelope,4
viral load,,4
antiviral drug,4
viral envelope.,3
reassortment,3
viral replication.,3
virus classification,3
viral life cycle,,2
viral disease,,2
antigenic shift,2
viral load.,1
viral load;,1
viral life cycle.,1
mycovirus,1
viral protein,,1
antigenic drift,1
antiviral drug,,1
viral protein,1
viral shedding,,1
