tropicalVirus,count
Zika,190
ZIKV,147
CHIKV,135
DENV,129
Dengue,107
Chikungunya,87
West Nile,60
WNV,32
YFV,17
HPV,16
Yellow fever,9
Human papilloma virus,3
West Nile,,2
Yellow fever.,1
