tropicalVirus,count
Zika,195
Dengue,115
West Nile,97
ZIKV,94
DENV,87
Chikungunya,73
CHIKV,54
YFV,40
WNV,30
Yellow fever,26
HPV,8
West Nile,,6
Yellow fever,,3
