23,14,18,7,26,11,19,8,3,0,3,1,0,0,0
55,33,40,39,47,44,25,13,8,7,3,0,0,1,1
44,29,30,19,36,19,39,25,8,4,6,1,0,0,0
6,3,4,2,8,2,9,2,0,0,1,0,0,0,0
18,13,15,9,18,12,18,9,6,3,1,2,1,1,0
36,27,34,18,35,24,25,14,16,10,4,1,0,1,1
17,8,10,6,19,11,10,6,1,2,1,0,0,0,0
35,33,27,17,24,20,22,15,6,3,3,0,0,0,0
20,11,22,14,30,16,12,6,5,3,4,0,0,0,0
1,1,2,1,3,1,3,1,0,0,1,0,0,0,0
18,9,14,9,18,14,10,3,4,4,1,2,0,0,0
9,3,4,4,9,6,4,2,2,2,1,1,0,0,0
17,11,12,15,16,18,8,5,4,2,1,1,0,0,0
7,6,7,4,10,5,8,5,2,0,2,2,0,0,0
7,7,7,3,8,4,6,5,3,2,1,1,0,1,0
8,5,9,5,8,6,8,5,2,0,3,0,0,0,0
1,1,2,1,2,1,1,1,0,0,1,0,0,0,0
1,1,1,1,1,1,2,1,0,0,0,0,0,0,0
10,6,4,11,7,11,3,2,1,0,0,0,0,0,0
1,0,0,0,2,1,0,0,0,1,0,0,0,0,0
8,3,8,2,10,2,7,3,1,3,2,0,0,0,0
6,6,5,2,4,3,6,5,3,0,0,1,0,0,0
8,3,4,6,8,6,6,3,2,0,1,1,0,0,0
4,2,2,2,3,1,3,2,0,0,0,0,0,0,0
8,8,8,6,9,8,5,3,0,0,0,0,0,0,0
