16,7,12,13,5,17,10,5,6,5,2,1,0
47,31,34,27,20,20,26,10,11,10,2,2,0
30,10,19,14,10,21,20,9,3,1,2,2,0
8,3,5,5,2,6,6,3,1,1,1,1,0
7,2,5,7,5,9,6,6,2,0,0,1,1
19,9,17,14,10,8,14,3,3,2,2,0,0
10,4,15,9,3,9,7,2,2,0,1,2,0
24,17,18,12,9,19,15,12,9,5,4,2,0
10,4,5,3,1,9,4,4,3,3,0,0,0
8,4,13,9,2,5,6,1,3,2,0,1,0
7,2,5,3,1,5,3,3,0,0,0,0,0
1,0,0,0,0,2,1,0,0,0,0,0,0
8,4,6,6,5,8,8,4,2,2,0,0,0
8,3,8,7,1,5,5,1,2,1,1,1,0
2,2,2,2,1,6,3,2,0,0,0,0,0
6,1,2,2,2,5,6,1,0,0,0,0,0
8,6,5,5,2,5,4,3,1,0,0,1,0
8,5,5,4,4,7,6,5,2,1,0,0,1
9,3,5,5,2,3,3,1,4,3,1,1,0
7,2,7,3,2,7,6,2,3,3,3,1,0
7,4,2,2,4,5,5,5,2,1,0,1,0
16,16,8,7,2,6,4,4,3,1,1,1,0
8,4,7,7,3,3,5,0,2,0,0,1,0
4,2,4,2,2,3,5,2,1,1,2,1,0
10,4,7,4,2,5,5,2,6,6,1,1,0
