tropicalVirus,count
Zika,356
ZIKV,287
Dengue,188
DENV,181
CHIKV,149
West Nile,148
Chikungunya,129
WNV,90
YFV,64
Yellow fever,21
West Nile,,7
HPV,6
Yellow fever.,1
