31,14,26,16,6,29,13,9,4,1,3,3,1
41,26,30,25,17,37,23,19,13,9,6,2,1
21,13,21,16,8,20,15,7,5,3,2,3,0
45,26,35,33,32,25,44,11,11,6,3,2,0
5,0,2,0,1,10,3,0,0,0,1,0,0
35,22,27,22,11,25,16,12,14,11,2,2,1
14,3,10,7,3,11,9,3,1,1,0,0,0
4,1,3,4,4,7,6,1,1,1,0,0,0
20,7,27,20,9,9,15,3,3,2,0,1,0
32,29,21,16,7,13,11,8,4,2,2,2,0
16,12,15,13,9,14,12,5,6,4,2,1,0
8,3,5,1,0,5,4,1,2,3,0,0,0
14,9,11,8,3,13,7,3,2,1,0,3,0
6,7,8,7,3,9,6,4,2,3,1,0,0
4,2,1,3,4,4,5,1,0,0,0,0,0
6,4,6,5,3,10,7,3,2,1,1,1,0
0,0,4,1,0,5,1,2,0,0,1,0,0
9,6,8,4,4,5,7,2,1,0,1,2,1
3,1,1,1,0,2,0,1,0,0,0,1,0
11,6,9,8,12,8,15,4,3,2,2,1,0
3,1,1,1,1,2,2,1,1,1,0,0,0
1,1,5,3,1,5,3,1,0,0,1,0,0
5,2,2,2,1,8,4,3,1,0,0,0,0
5,4,5,2,0,4,3,0,0,1,1,1,0
12,8,8,8,2,10,4,7,4,5,0,1,1
