tropicalVirus,count
Zika,284
ZIKV,189
Dengue,171
DENV,159
West Nile,135
CHIKV,126
Chikungunya,109
WNV,71
YFV,49
Yellow fever,27
HPV,14
West Nile,,10
Yellow fever,,3
Human papilloma virus,1
